,id,name,neighbourhood,latitude,longitude,room_type,calculated_host_listings_count,license
0,2861174,Casablanca  Master Suite,Palo Alto,37.4171,-122.12669,Private room,1,
1,1364787,Iris House Cozy room in dwntn Palo Alto & Stanford,Palo Alto,37.44973,-122.15081,Private room,5,
2,2880487,**Premium Executive Condo. with Maid Svcs**,Los Altos,37.37318,-122.10736,Entire home/apt,1,
3,1366049,Beautiful Single Family Home,Campbell,37.26901,-121.96325,Private room,1,
4,4952,Butterfly Inn near Stanford with weekly cleaning,Palo Alto,37.43932,-122.15741,Private room,5,
5,2894634,HackerHome - Mountain View: Castro1,Mountain View,37.39425,-122.08244,Shared room,37,
6,11464,Deluxe Studio 5 min.  to SC Kaiser & Apple Park,Santa Clara,37.34415,-121.98701,Entire home/apt,12,
7,21373,Bonsai Garden near Stanford with weekly cleaning,Palo Alto,37.43972,-122.15532,Private room,5,
8,1367908,"Spacious room, welcoming home",Los Altos,37.35873,-122.08164,Private room,7,
9,2897527,Spacious Master Room with Private Bathroom,Mountain View,37.39547,-122.06505,Private room,3,
10,37512,Comfortable Private Room,San Jose,37.30423,-121.84088,Private room,1,
11,40560,Cozy Room Perfect for All - short term or long,Palo Alto,37.45379,-122.13867,Private room,2,
12,2943488,Hostel 5~budget room~young techies Sunnyvale,Sunnyvale,37.38306,-122.0206,Private room,32,2017-7717
13,62799,"Zen Bedroom in Palo Alto, includes weekly cleaning",Palo Alto,37.43934,-122.15723,Private room,5,
14,75284,Garden Oasis walk to Stanford with weekly cleaning,Palo Alto,37.43923,-122.15745,Private room,5,
15,1388553,"Private studio, walk to Willow Glen dining",San Jose,37.30033,-121.90128,Entire home/apt,2,
16,1398981,Heart of Silicon Valley,Palo Alto,37.45318,-122.16341,Entire home/apt,1,
17,2983703,Cozy home in downtown Mtn. View.,Mountain View,37.38794,-122.08018,Private room,1,
18,106365,Luxurious Private Quiet Home NearMain St Cupertino,Cupertino,37.32194,-122.00511,Entire home/apt,1,Exempt
19,3051872,"Cozy, Quiet Room in Large Saratoga House",Saratoga,37.28254,-122.02027,Private room,18,
20,118903,"Entire Guest Suite, Entrance@ House of Chauncey",Sunnyvale,37.38466,-122.03628,Private room,1,2021-7703
21,1479769,Charming Palo Alto Carriage House,Palo Alto,37.43764,-122.15104,Entire home/apt,1,
22,1511274,Private room in San Jose/Campbell,Campbell,37.2807,-121.94395,Private room,2,
23,1511816,Bdrm suite with private  entrance,Campbell,37.28755,-121.94009,Private room,2,
24,3128262,2BR~2Bth Nice Townhouse in Serene Oasis,Los Gatos,37.2600767,-121.986211,Entire home/apt,2,
25,134606,"Private Room, Cozy Home Downtown SJ",San Jose,37.34602,-121.88821,Private room,1,
26,3143994,Luxurious 2 Story 1100 sq ft w/view of Santana Row,San Jose,37.32054,-121.94775,Entire home/apt,1,
27,172259,"Studio with a private bath, wet bar and small frig",Palo Alto,37.40312,-122.12661,Private room,7,
28,1535803,Prime Mountain View Single Family,Mountain View,37.37293,-122.08584,Entire home/apt,1,
29,1566622,Park Facing Corner Unit Townhome,San Jose,37.32132,-121.91157,Entire home/apt,1,
30,3153857,Private studio in downtown,Mountain View,37.38885,-122.07696,Entire home/apt,1,
31,1615299,Excellent for the Business Traveler,Campbell,37.25711,-121.95155,Private room,1,
32,211039,we GOT A POOL,Campbell,37.28774,-121.92726,Private room,1,
33,214303,Private & Cozy Garden Room,Palo Alto,37.45378,-122.13855,Private room,2,
34,3166169,Private room private bathroom in beautiful house,San Jose,37.42878,-121.97111,Private room,5,
35,231717,B&B: Quiet Bedroom & Bathroom,Santa Clara,37.34751,-121.98418,Private room,1,
36,1625508,Private master room - near downtown,Mountain View,37.39522,-122.09472,Private room,1,
37,3177772,"Exquisite DT unit,walk to bus stops",Mountain View,37.38389,-122.0841,Entire home/apt,12,
38,1691675,"2BD Palo Alto home, great location",Palo Alto,37.43802,-122.15397,Entire home/apt,1,
39,241788,Santana Row MOD Condo1 LOFTstyle on the QUIET side,San Jose,37.3205,-121.94844,Entire home/apt,2,
40,3215941,Large Comfortable Exec. 3 BR House,San Jose,37.40181,-121.84636,Entire home/apt,1,
41,251163,Family-friendly condo near downtown,Mountain View,37.38406,-122.08022,Entire home/apt,1,
42,1714156,Gorgeous Home in Downtown Willow Glen*Cozy Balcony,San Jose,37.30534,-121.89822,Entire home/apt,2,
43,3216792,Students Welcome! 1 Bed & 1 Private Bath,San Jose,37.28733,-121.78001,Private room,1,
44,1717995,Large Gorgeous Corporate House In Prime Location,San Jose,37.3736,-121.8822,Entire home/apt,2,
45,263527,"Spacious house with 5 bedrooms, 3 bathrooms",San Jose,37.27708,-121.82955,Entire home/apt,1,
46,3245647,HomeyCozy Room Los Gatos Home,Los Gatos,37.24655,-121.96043,Private room,2,
47,297293,Unfurnished Contemporary Condo,San Jose,37.32222,-121.90503,Entire home/apt,1,
48,1738914,"Perfect 3BR - Walk To Stanford, Downtown, Caltrain",Palo Alto,37.44886,-122.16697,Entire home/apt,1,
49,3271133,Cozy Bedroom (Perfect for Interns),Santa Clara,37.39564,-121.94933,Private room,1,
50,1743193,Nice Top Floor 2 Master Suites Executive Townhouse,San Jose,37.4042,-121.9203,Entire home/apt,2,
51,1749189,Private Clean Quiet Room in Nice neighborhood,San Jose,37.26894,-121.88322,Private room,1,
52,1776962,HackerHome - Sunnyvale Plug & Play2,Sunnyvale,37.38676,-122.02655,Shared room,37,
53,307827,Lovely Private Garden Cottage,Palo Alto,37.42938,-122.13718,Entire home/apt,1,
54,3272579,"The Studio at Rose Manor,5 mins to SJC Airport",San Jose,37.34441,-121.92571,Entire home/apt,13,
55,310377,Little room in a little house/LOL. Littleoldlady,Palo Alto,37.4289,-122.13015,Private room,1,
56,1777240,HackerHome - Sunnyvale Caltrain,Sunnyvale,37.38652,-122.02595,Shared room,37,
